source,tag,division_code,division_name,section_code,section_name,cos,rank
regpat,A24F40/51,35,"Electricity, gas, steam and air conditioning supply",D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",0.3331476151943207,2
regpat,A24F40/53,12,Manufacture of tobacco products,C,MANUFACTURING,0.4964018166065216,1
regpat,A24F40/57,12,Manufacture of tobacco products,C,MANUFACTURING,0.49415308237075806,1
regpat,A24F40/60,12,Manufacture of tobacco products,C,MANUFACTURING,0.4893622398376465,1
regpat,A24F40/65,12,Manufacture of tobacco products,C,MANUFACTURING,0.3958498537540436,1
regpat,A24F47,12,Manufacture of tobacco products,C,MANUFACTURING,0.5051076412200928,1
regpat,A41B,14,Manufacture of wearing apparel,C,MANUFACTURING,0.6073516011238098,1
regpat,A41B,14,Manufacture of wearing apparel,C,MANUFACTURING,0.6073516011238098,2
regpat,A41C,14,Manufacture of wearing apparel,C,MANUFACTURING,0.43985551595687866,1
regpat,A41D,14,Manufacture of wearing apparel,C,MANUFACTURING,0.5626676082611084,1
regpat,A41D1,14,Manufacture of wearing apparel,C,MANUFACTURING,0.572858452796936,1
regpat,A41D13,14,Manufacture of wearing apparel,C,MANUFACTURING,0.44391992688179016,1
regpat,A41D19,14,Manufacture of wearing apparel,C,MANUFACTURING,0.40050455927848816,1
regpat,A41D31,14,Manufacture of wearing apparel,C,MANUFACTURING,0.5564383864402771,1
regpat,A41D31,14,Manufacture of wearing apparel,C,MANUFACTURING,0.5564383864402771,2
regpat,A41F,14,Manufacture of wearing apparel,C,MANUFACTURING,0.44361451268196106,1
regpat,A41G,14,Manufacture of wearing apparel,C,MANUFACTURING,0.4398660659790039,1
regpat,A41H,14,Manufacture of wearing apparel,C,MANUFACTURING,0.6575595736503601,1
regpat,A42B,14,Manufacture of wearing apparel,C,MANUFACTURING,0.41344696283340454,1
regpat,A42B3,30,Manufacture of other transport equipment,C,MANUFACTURING,0.3447279930114746,1
regpat,A42B3,43,Specialised construction activities,F,CONSTRUCTION,0.334601491689682,2
regpat,A42C,14,Manufacture of wearing apparel,C,MANUFACTURING,0.5572865009307861,1
regpat,A42C,13,Manufacture of textiles,C,MANUFACTURING,0.5512449741363525,2
regpat,A43B,14,Manufacture of wearing apparel,C,MANUFACTURING,0.4068836569786072,1
regpat,A43B,14,Manufacture of wearing apparel,C,MANUFACTURING,0.4068836569786072,2
regpat,A43B1,14,Manufacture of wearing apparel,C,MANUFACTURING,0.4240753948688507,1
regpat,A43B1,15,Manufacture of leather and related products of other materials,C,MANUFACTURING,0.41365113854408264,2
regpat,A43B13,22,Manufacture of rubber and plastic products,C,MANUFACTURING,0.42885398864746094,1
regpat,A43B13/04,22,Manufacture of rubber and plastic products,C,MANUFACTURING,0.3246268033981323,1
regpat,A43B13/04,22,Manufacture of rubber and plastic products,C,MANUFACTURING,0.3246268033981323,2
regpat,A43B13/12,22,Manufacture of rubber and plastic products,C,MANUFACTURING,0.34159374237060547,1
regpat,A43B13/12,22,Manufacture of rubber and plastic products,C,MANUFACTURING,0.34159374237060547,2
regpat,A43B23,93,Sports activities and amusement and recreation activities,S,"ARTS, SPORTS AND RECREATION",0.41779303550720215,1
regpat,A43B3,15,Manufacture of leather and related products of other materials,C,MANUFACTURING,0.6180245876312256,1
regpat,A43B5,93,Sports activities and amusement and recreation activities,S,"ARTS, SPORTS AND RECREATION",0.3827853202819824,1
regpat,A43B5,93,Sports activities and amusement and recreation activities,S,"ARTS, SPORTS AND RECREATION",0.3827853202819824,2
regpat,A43B7,22,Manufacture of rubber and plastic products,C,MANUFACTURING,0.3866260051727295,1
regpat,A43B7,22,Manufacture of rubber and plastic products,C,MANUFACTURING,0.3866260051727295,2
regpat,A43C,15,Manufacture of leather and related products of other materials,C,MANUFACTURING,0.5182351469993591,1
regpat,A43D,15,Manufacture of leather and related products of other materials,C,MANUFACTURING,0.5835767984390259,1
regpat,A44B,14,Manufacture of wearing apparel,C,MANUFACTURING,0.5869001150131226,1
regpat,A44C,14,Manufacture of wearing apparel,C,MANUFACTURING,0.4103712737560272,1
