source,tag,division_code,division_name,section_code,section_name,cos,rank
crunchbase,GreenTech,38,"Waste collection, recovery and disposal activities",E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0.321603000164032,4
crunchbase,Grocery,47,Retail trade,G,WHOLESALE AND RETAIL TRADE,0.5732065439224243,1
crunchbase,Group Buying,94,Activities of membership organisations,T,OTHER SERVICE ACTIVITIES,0.3032313585281372,1
crunchbase,Group Buying,94,Activities of membership organisations,T,OTHER SERVICE ACTIVITIES,0.3032313585281372,2
crunchbase,Guides,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.3105669915676117,1
crunchbase,Handmade,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",C,MANUFACTURING,0.5042973756790161,1
crunchbase,Hardware,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.6560874581336975,1
crunchbase,Health Care,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.6289145350456238,1
crunchbase,Health Diagnostics,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.4856884777545929,1
crunchbase,Health Insurance,65,"Insurance, reinsurance and pension funding, except compulsory social security",L,FINANCIAL AND INSURANCE ACTIVITIES,0.46350768208503723,1
crunchbase,Hedge Funds,64,"Financial service activities, except insurance and pension funding",L,FINANCIAL AND INSURANCE ACTIVITIES,0.4292072355747223,1
crunchbase,Herbs and Spices,10,Manufacture of food products,C,MANUFACTURING,0.3583851754665375,1
crunchbase,Higher Education,85,Education,Q,EDUCATION,0.4458676874637604,1
crunchbase,Hockey,93,Sports activities and amusement and recreation activities,S,"ARTS, SPORTS AND RECREATION",0.34049904346466064,1
crunchbase,Home and Garden,81,Services to buildings and landscape activities,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0.56717848777771,1
crunchbase,Home Appliances,27,Manufacture of electrical equipment,C,MANUFACTURING,0.3204537630081177,1
crunchbase,Home Appliances,95,"Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles",T,OTHER SERVICE ACTIVITIES,0.3193795382976532,2
crunchbase,Home Appliances,35,"Electricity, gas, steam and air conditioning supply",D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",0.3150164484977722,3
crunchbase,Home Decor,31,Manufacture of furniture,C,MANUFACTURING,0.4480913281440735,1
crunchbase,Home Health Care,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.5366659164428711,1
crunchbase,Home Improvement,81,Services to buildings and landscape activities,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0.4595111608505249,1
crunchbase,Home Improvement,41,Construction of residential and non-residential buildings,F,CONSTRUCTION,0.4547419250011444,2
crunchbase,Home Renovation,41,Construction of residential and non-residential buildings,F,CONSTRUCTION,0.5342018604278564,1
crunchbase,Home Services,96,Personal service activities,T,OTHER SERVICE ACTIVITIES,0.4766214191913605,1
crunchbase,Home Services,81,Services to buildings and landscape activities,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0.47426915168762207,2
crunchbase,Homeland Security,84,Public administration and defence; compulsory social security,P,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,0.4502248466014862,1
crunchbase,Homeless Shelter,88,Social work activities without accommodation,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.5158940553665161,1
crunchbase,Horticulture,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.6089988350868225,1
crunchbase,Hospital,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.5467195510864258,1
crunchbase,Hospitality,55,Accommodation,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,0.6484271883964539,1
crunchbase,Hotel,55,Accommodation,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,0.7008801102638245,1
crunchbase,Housekeeping Service,97,Activities of households as employers of domestic personnel,U,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE,0.5361776947975159,1
crunchbase,Human Computer Interaction,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.46323925256729126,1
crunchbase,Human Resources,78,Employment activities,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0.5702322125434875,1
crunchbase,Humanitarian,88,Social work activities without accommodation,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.4283146262168884,1
crunchbase,Hunting,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.38603901863098145,1
crunchbase,Hunting,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.38603901863098145,2
crunchbase,Hydroelectric,42,Civil engineering,F,CONSTRUCTION,0.4380446672439575,1
crunchbase,Hydroelectric,36,"Water collection, treatment and supply",E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0.4294516444206238,2
crunchbase,Hydroponics,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.5092579126358032,1
crunchbase,IaaS,63,"Computing infrastructure, data processing, hosting and other information service activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.5349552631378174,1
crunchbase,Identity Management,63,"Computing infrastructure, data processing, hosting and other information service activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.36306291818618774,1
crunchbase,Identity Management,84,Public administration and defence; compulsory social security,P,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,0.3528454601764679,2
crunchbase,Image Recognition,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.37306344509124756,1
crunchbase,Impact Investing,64,"Financial service activities, except insurance and pension funding",L,FINANCIAL AND INSURANCE ACTIVITIES,0.4044482409954071,1
crunchbase,In-Flight Entertainment,51,Air transport,H,TRANSPORTATION AND STORAGE,0.5279393196105957,1
crunchbase,Incubators,70,Activities of head offices and management consultancy,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.3564467430114746,1
crunchbase,Incubators,70,Activities of head offices and management consultancy,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.3564467430114746,2
crunchbase,Independent Music,90,Arts creation and performing arts activities,S,"ARTS, SPORTS AND RECREATION",0.39124664664268494,1
crunchbase,Independent Music,59,"Motion picture, video and television programme production, sound recording and music publishing activities",J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",0.38915562629699707,2
crunchbase,Indoor Positioning,47,Retail trade,G,WHOLESALE AND RETAIL TRADE,0.3412501811981201,1
crunchbase,Industrial,28,Manufacture of machinery and equipment n.e.c.,C,MANUFACTURING,0.6078997254371643,1
crunchbase,Industrial Automation,28,Manufacture of machinery and equipment n.e.c.,C,MANUFACTURING,0.48736390471458435,1
crunchbase,Industrial Design,31,Manufacture of furniture,C,MANUFACTURING,0.44752001762390137,1
crunchbase,Industrial Engineering,28,Manufacture of machinery and equipment n.e.c.,C,MANUFACTURING,0.4638901352882385,1
crunchbase,Industrial Manufacturing,28,Manufacture of machinery and equipment n.e.c.,C,MANUFACTURING,0.6204222440719604,1
crunchbase,Information and Communications Technology (ICT),63,"Computing infrastructure, data processing, hosting and other information service activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.5754683613777161,1
crunchbase,Information Services,63,"Computing infrastructure, data processing, hosting and other information service activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.5253470540046692,1
crunchbase,Information Technology,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.5792404413223267,1
